What is the free float for Activity C? | 5 days
What is the shortest time possible to complete this project? (critical path)  | 12 days
You work as an engineer for a large engineering firm. The last week you have been corresponding back and fourth with the supervisor of your department about the horizontal stabilizers required for the wings on a new aircraft you are designing. Which communication dimension does this represent? | Vertical
Many organizations treat contract administration as an administrative function separate from the project organization. Who carries out the function of contract administration in such organizations? | The Procurement Administrator
A project team collects project work performance data and transforms that into work performance information for the key project stakeholders on a monthly basis. Which of the following does not provide a good platform to share this information with the stakeholders? | Project file updates
John is the project manager of a project that is in an early phase. He needs to estimate costs but finds that he has a limited amount of detailed information about the project. Which of the following estimation techniques would be least suited to his requirements? | Bottom-up Estimating
Peter is managing a software development project for the first time. He is facing issues with scheduling meetings with the senior project managers at the company as they are extremely busy with their current assignments. Peter needs to understand what went right and wrong on previous similar projects so that he can manage his project better. In this situation, what should Peter do? | Review lessons learned from the past similar projects.
You have been asked to determine the logical relationships, leads, and lags for the activities that make up a project. What would be the BEST technique to use? | Critical Path Method
A statement of work (SOW) is a narrative description of the products or services to be delivered by the project. It usually references all of the following except: | The business case
The Conduct Procurements process receives bids or proposals and applies criteria to select one or more sellers who are both qualified and acceptable as a seller. Which of the following techniques is not a valid technique for this process? | Make-or-buy analysis
John is in the process of preparing the project performance report for the team meeting. He is expecting many questions from his stakeholders on the budget and schedule. He calculates the following values; Budget at Completion (BAC) = $22,000, Earned Value (EV) = $13,000, Planned Value (PV) = $ 14,000, Actual cost (AC) = $15,000. | $24,000 – If the project work is performed at the budgeted rate, the Estimation at Completion can be determined using the formula (EAC) = AC + (BAC – EV)
Your team has built an exotic sports car for a wealthy client. Every deliverable has been verified by the project team against the quality requirements and accepted by the client. Now the Project Manager is reviewing the car to ensure it meets the specifications of the client, as agreed to in the project plan. What project management process is represented here? | Closing
You are a Project Manager for an automotive parts company. Your organization has been hired to produce clutches for an exotic car company which will involve the design and production of custom clutches. During the course of the project you are reviewing a quality control statistics chart that examines every clutch produced for the month and notice several cases where the spring component of the clutch is expanding with too much force and is falling outside the upper control limit. Which type of Quality Control tool are you MOST LIKELY making use of? | Control charts
Which of the following Project Scope Management processes documents a configuration management system? | Plan Scope Management
As a project manager based at the customer location for a performing organization, you strike up a rapport with a customer manager. As the project progresses, the manager asks you to make certain changes to the project scope and wants this to be handled on an informal basis. You should: | Explain to the manager that you would need to formally document these as part of project scope change and put it through the change management process.
When developing your project schedule, you have asked everyone to provide a list of planned vacations over the next 3 months and you have applied this into the tasks that each person is responsible for. This is an example of what tool? | Resource Calendars
You have been asked to create a graphical display of schedule-related information listing schedule activities on the left side of the chart, dates on the top, and activity durations as date-placed horizontal bars on the right side. What would such a chart be called? | Gantt chart
A key output of Plan Resource Management is a list of project roles and responsibilities. What should this document include? | Role, Authority, Responsibility, Competency
The legal nature of the contractual relationship between a buyer and a seller requires that appropriate legal counsel be involved in the project, for specific activities. Which of the following phases requires legal counsel to be involved. | Each procurement management process
All of the following are components of an effective change control, EXCEPT: | Variance analysis
A first-time project manager decided that he would have a ‘perfect project’. He informed the customer that this project would not accept change requests of any kind and the scope would need to be detailed out accurately right at the start of the project. The customer agreed to this request. What would your comment on this situation be? | This is unrealistic and impractical. Change is inevitable and rather than look at a ‘no change’ project, it would be more in the project interests to plan for a robust change control process.
A project is contracted as a Cost-Plus-Fixed-Fee (CPFF) type of contract. The targeted cost is $200,000 with a fee of $30,000. If the project comes in at $170,000, what would be the cost of the total contract? | $200,000
As part of stakeholder analysis, a project manager drew up a power / interest grid. The project manager identified that a stakeholder could be classified low on the “interest” scale, and also as low on the “power” scale. What strategy should be used for such a stakeholder? | Monitor
David is managing a telecom network deployment project. The buyer of the telecom network is an external entity. Recently, the customer has requested all the future project updates to be automatically posted to their information system. In order to implement this, the project team needs to customize their project management information system so that it can be integrated with the customer’s information system. This is a new customer requirement that was not a part of the original project’s scope. What should the project manager do? | Initiate the formal change control process.
Which of these is not a legitimate model used to analyze stakeholders? | Sufficiency model
If you have an unresolved issue while working on a project, what is the best way to communicate that issue? | Create an issue log
The most recent analysis of Microcorp’s new fabrication facility renovation shows a CPI value of less than 1.0 What does this indicate? | The cost has overrun estimates.
A software development project team has determined the best way to mitigate the risk of not having the computational resources to complete all bug testing on schedule is to add 3 more servers to the test bed. However, the network may not have enough capacity to handle the extra load of those three servers and could fail. This type of risk is called a ___________________ risk. | Secondary
Which of the following statements about products and projects is true? | One product may have many projects associated with it.
The business case to justify a project typically contains: | Cost Benefit Analysis
As part of the quality control in your project, you are looking at a technique which shows the history and pattern of variation. This is a line graph which shows data points plotted in the order in which they occurred. You are most likely looking at a: | Control chart
A hierarchical structure of resources organized by resource type category and resource type used in resource leveling schedules is known as: | Resource Breakdown Structure
You are currently leading a project and performing the work defined in the project management plan. This activity relates to which of the following processes? | Direct and Manage Project Work
The accuracy of estimates of the cost of a project will _____________ over the life of a project. | increase
Peter is a project manager who is assigned to a foreign country to manage a project. The project is a large one and comprises of smaller sub-teams, contributing to the entire project. As part of rewards and recognition within the project, Peter plans for a team award for the best sub-team. The Recognition and Rewards is associated with which of the following processes? | Develop Team
Body language plays an important role in effective communications. This relates to which of the following communications dimensions? | Nonverbal
A requesting organization for a project created a document that included the business need and the cost-benefit analysis. What would this document be termed as? | The business case
You just found out that a major subcontractor for your project consistently provides deliverables late. The subcontractor approaches you and asks you to continue accepting late deliverables in exchange for a decrease in project costs. This offer is an example of: | Compromise
A RACI chart is an example of a ___________ . | Responsibility assignment matrix
After receiving some news about a delay on one of your project tasks, you reviewed the schedule to determine how it will impact the project. While there is a substantial delay on this task, it is not a critical path item and will not impact delivery of any of your milestones. Another project manager advises you to only present the milestone chart during your meeting with the project stakeholders and tell them the project is progressing as planned. What do you do? | Present the schedule in a milestone chart and disclose full details of the delay.
What term defines the work needed to complete a product, service, or result? | Project scope
A project manager is working on the Manage Quality phase of a project. He is looking for an iterative means to improve quality and eliminate activities that don’t add value. Which of the following will help him do this? | Continuous process improvement
Why are the approved change requests input to the Direct and Manage Project Work process? | Approved change requests are implemented by the project team during the Direct and Manage Project Work process.
You have successfully passed your PMP exam and are leading a project to replace the storage devices in a data center. In the following week, you and your team of experts will be meeting with a storage device vendor to discuss the status of their deliverables that are due at week’s end. What management process do these activities reflect? | Control Procurements
Which of the following is not an organizational process asset that is used during the Plan Resource Management process? | Standardized stakeholder list
Which of the following inaccurately describes a prototype? | Requirements from a prototype are usually insufficient to move to the design phase.
Product scope is measured against the product requirements whereas project scope is measured against: | The project scope statement and its associated WBS and WBS dictionary
A project charter that formally authorized a project was created. The project charter documented the initial requirements to satisfy stakeholders’ needs and expectations. How often should the project charter ideally be revised? | Never
A project manager prepared a presentation that included data on utilization of resources on her project, improvements in efficiency of the staff on the project, and the cost savings. She is doing this as part of what process? | Monitor and Control Project Work
You are managing a project with over 130 procurement contracts. Because of the number of contracts, your project team includes a procurement manager and a procurement assistant. Company policy requires that certain types of procurements be advertised to potential bidders by means of newspaper advertisements. The procurement assistant typically reviews the bids received and short lists the suppliers for further review by the procurement team. During a meeting to review and select a vendor from the short listed suppliers, you discover that one of the suppliers is a company owned by your cousin. Which of the following is the best course of action? | Ask the procurement manager to lead the vendor selection process for this contract and excuse yourself from the review.
